2026-04-23 18:53:21.079 INFO pid=28661 tid=28662 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-23 18:53:21.279 INFO pid=28661 tid=28661 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-23 18:53:21.279 INFO pid=28661 tid=28667 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-23 18:53:21.280 INFO pid=28661 tid=28661 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-23 18:56:09.922 INFO pid=29023 tid=29023 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-23 18:56:09.923 INFO pid=29023 tid=29025 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-23 18:56:09.924 INFO pid=29023 tid=29024 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-23 18:56:09.924 INFO pid=29023 tid=29028 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-23 18:56:09.924 INFO pid=29023 tid=29027 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-23 18:56:09.925 INFO pid=29023 tid=29026 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-23 18:56:10.123 INFO pid=29023 tid=29023 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-23 18:56:10.124 INFO pid=29023 tid=29029 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-23 18:56:10.125 INFO pid=29023 tid=29023 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-23 18:56:47.543 INFO pid=29270 tid=29270 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-23 18:56:47.544 INFO pid=29270 tid=29272 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-23 18:56:47.544 INFO pid=29270 tid=29273 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-23 18:56:47.544 INFO pid=29270 tid=29271 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-23 18:56:47.545 INFO pid=29270 tid=29275 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-23 18:56:47.545 INFO pid=29270 tid=29274 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-23 18:56:47.744 INFO pid=29270 tid=29270 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-23 18:56:47.744 INFO pid=29270 tid=29276 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-23 18:56:47.745 INFO pid=29270 tid=29270 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
2026-04-23 19:07:19.977 INFO pid=30014 tid=30014 tname=coro-main rpc_server.cpp:30 RegisterService | registered rpc service name=raft.RaftRpc
2026-04-23 19:07:19.977 INFO pid=30014 tid=30017 tname=rpc-worker-1 thread_pool.cpp:11 operator() | worker thread started index=1
2026-04-23 19:07:19.978 INFO pid=30014 tid=30015 tname=rpc-server-main rpc_server.cpp:53 Run | rpc server started ip=127.0.0.1 port=18901 io_threads=1 worker_threads=4 services=1
2026-04-23 19:07:19.978 INFO pid=30014 tid=30016 tname=rpc-worker-0 thread_pool.cpp:11 operator() | worker thread started index=0
2026-04-23 19:07:19.978 INFO pid=30014 tid=30019 tname=rpc-worker-3 thread_pool.cpp:11 operator() | worker thread started index=3
2026-04-23 19:07:19.978 INFO pid=30014 tid=30018 tname=rpc-worker-2 thread_pool.cpp:11 operator() | worker thread started index=2
2026-04-23 19:07:20.178 INFO pid=30014 tid=30014 tname=coro-main rpc_channel.cpp:31 RpcChannel | rpc channel created peer=127.0.0.1:18901
2026-04-23 19:07:20.178 INFO pid=30014 tid=30020 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:18901
2026-04-23 19:07:20.179 INFO pid=30014 tid=30014 tname=coro-main coro_smoke.cpp:227 main | OK: coroutine resumed on raft thread; term=42 voteGranted=1
